Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
ISVTE5M5,conferencePaper,2019,"Wiyatno, Rey; Xu, Anqi",Physical Adversarial Textures That Fool Visual Object Tracking,2019 IEEE/CVF International Conference on Computer Vision (ICCV),978-1-72814-803-8,,10.1109/ICCV.2019.00492,https://ieeexplore.ieee.org/document/9009841/,"We present a method for creating inconspicuous-looking textures that, when displayed as posters in the physical world, cause visual object tracking systems to become confused. As a target being visually tracked moves in front of such a poster, its adversarial texture makes the tracker lock onto it, thus allowing the target to evade. This adversarial attack evaluates several optimization strategies for fooling seldom-targeted regression models: non-targeted, targeted, and a newly-coined family of guided adversarial losses. Also, while we use the Expectation Over Transformation (EOT) algorithm to generate physical adversaries that fool tracking models when imaged under diverse conditions, we compare the impacts of different scene variables to ﬁnd practical attack setups with high resulting adversarial strength and convergence speed. We further showcase that textures optimized using simulated scenes can confuse real-world tracking systems for cameras and robots.",Oct-19,2020/6/28 3:02,2020/6/28 3:02,2020/6/28 3:02,4821-4830,,,,,,,,,,,IEEE,"Seoul, Korea (South)",en,,,,,DOI.org (Crossref),,,,C:\Users\zhbli\Zotero\storage\EEQYPDBN\Wiyatno 和 Xu - 2019 - Physical Adversarial Textures That Fool Visual Obj.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 IEEE/CVF International Conference on Computer Vision (ICCV),,,,,,,,,,,,,,,
KNLH7RRX,journalArticle,,"Addepalli, Sravanti",Towards Achieving Adversarial Robustness by Enforcing Feature Consistency Across Bit Planes,,,,,,"As humans, we inherently perceive images based on their predominant features, and ignore noise embedded within lower bit planes. On the contrary, Deep Neural Networks are known to conﬁdently misclassify images corrupted with meticulously crafted perturbations that are nearly imperceptible to the human eye. In this work, we attempt to address this problem by training networks to form coarse impressions based on the information in higher bit planes, and use the lower bit planes only to reﬁne their prediction. We demonstrate that, by imposing consistency on the representations learned across differently quantized images, the adversarial robustness of networks improves signiﬁcantly when compared to a normally trained model. Present stateof-the-art defenses against adversarial attacks require the networks to be explicitly trained using adversarial samples that are computationally expensive to generate. While such methods that use adversarial training continue to achieve the best results, this work paves the way towards achieving robustness without having to explicitly train on adversarial samples. The proposed approach is therefore faster, and also closer to the natural learning process in humans.",,2020/7/17 1:53,2020/7/17 1:53,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\42NZTJ48\Addepalli - Towards Achieving Adversarial Robustness by Enforc.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDDUDENB,journalArticle,,,Single-Step Adversarial Training With Dropout Scheduling,,,,,,"Deep learning models have shown impressive performance across a spectrum of computer vision applications including medical diagnosis and autonomous driving. One of the major concerns that these models face is their susceptibility to adversarial attacks. Realizing the importance of this issue, more researchers are working towards developing robust models that are less affected by adversarial attacks. Adversarial training method shows promising results in this direction. In adversarial training regime, models are trained with mini-batches augmented with adversarial samples. Fast and simple methods (e.g., single-step gradient ascent) are used for generating adversarial samples, in order to reduce computational complexity. It is shown that models trained using single-step adversarial training method (adversarial samples are generated using noniterative method) are pseudo robust. Further, this pseudo robustness of models is attributed to the gradient masking effect. However, existing works fail to explain when and why gradient masking effect occurs during single-step adversarial training. In this work, (i) we show that models trained using single-step adversarial training method learn to prevent the generation of single-step adversaries, and this is due to over-ﬁtting of the model during the initial stages of training, and (ii) to mitigate this effect, we propose a singlestep adversarial training method with dropout scheduling. Unlike models trained using existing single-step adversarial training methods, models trained using the proposed single-step adversarial training method are robust against both single-step and multi-step adversarial attacks, and the performance is on par with models trained using computationally expensive multi-step adversarial training methods, in white-box and black-box settings.",,2020/7/17 1:54,2020/7/17 1:54,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\8S8TVI9Y\Single-Step Adversarial Training With Dropout Sche.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZPEVIVR2,journalArticle,,"Borkar, Tejas; Heide, Felix; Karam, Lina",Defending Against Universal Attacks Through Selective Feature Regeneration,,,,,,"Deep neural network (DNN) predictions have been shown to be vulnerable to carefully crafted adversarial perturbations. Speciﬁcally, image-agnostic (universal adversarial) perturbations added to any image can fool a target network into making erroneous predictions. Departing from existing defense strategies that work mostly in the image domain, we present a novel defense which operates in the DNN feature domain and effectively defends against such universal perturbations. Our approach identiﬁes pre-trained convolutional features that are most vulnerable to adversarial noise and deploys trainable feature regeneration units which transform these DNN ﬁlter activations into resilient features that are robust to universal perturbations. Regenerating only the top 50% adversarially susceptible activations in at most 6 DNN layers and leaving all remaining DNN activations unchanged, we outperform existing defense strategies across different network architectures by more than 10% in restored accuracy. We show that without any additional modiﬁcation, our defense trained on ImageNet with one type of universal attack examples effectively defends against other types of unseen universal attacks.",,2020/7/17 1:55,2020/7/17 1:55,,11,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\ILRMYR9W\Borkar 等。 - Defending Against Universal Attacks Through Select.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2NQI8P2C,journalArticle,,"Chen, Xuesong; Yan, Xiyu; Zheng, Feng; Jiang, Yong; Xia, Shu-Tao; Zhao, Yong; Ji, Rongrong",One-Shot Adversarial Attacks on Visual Tracking With Dual Attention,,,,,,"Almost all adversarial attacks in computer vision are aimed at pre-known object categories, which could be offline trained for generating perturbations. But as for visual object tracking, the tracked target categories are normally unknown in advance. However, the tracking algorithms also have potential risks of being attacked, which could be maliciously used to fool the surveillance systems. Meanwhile, it is still a challenging task that adversarial attacks on tracking since it has the free-model tracked target. Therefore, to help draw more attention to the potential risks, we study adversarial attacks on tracking algorithms. In this paper, we propose a novel one-shot adversarial attack method to generate adversarial examples for free-model single object tracking, where merely adding slight perturbations on the target patch in the initial frame causes state-of-the-art trackers to lose the target in subsequent frames. Speciﬁcally, the optimization objective of the proposed attack consists of two components and leverages the dual attention mechanisms. The ﬁrst component adopts a targeted attack strategy by optimizing the batch conﬁdence loss with conﬁdence attention while the second one applies a general perturbation strategy by optimizing the feature loss with channel attention. Experimental results show that our approach can signiﬁcantly lower the accuracy of the most advanced Siamese network-based trackers on three benchmarks.",,2020/7/17 1:58,2020/7/17 1:58,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\ZNLJYXGM\Chen 等。 - One-Shot Adversarial Attacks on Visual Tracking Wi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WXAFVM7I,journalArticle,,"Cohen, Gilad; Sapiro, Guillermo; Giryes, Raja",Detecting Adversarial Samples Using Influence Functions and Nearest Neighbors,,,,,,"Deep neural networks (DNNs) are notorious for their vulnerability to adversarial attacks, which are small perturbations added to their input images to mislead their prediction. Detection of adversarial examples is, therefore, a fundamental requirement for robust classiﬁcation frameworks. In this work, we present a method for detecting such adversarial attacks, which is suitable for any pre-trained neural network classiﬁer. We use inﬂuence functions to measure the impact of every training sample on the validation set data. From the inﬂuence scores, we ﬁnd the most supportive training samples for any given validation example. A k-nearest neighbor (k-NN) model ﬁtted on the DNN’s activation layers is employed to search for the ranking of these supporting training samples. We observe that these samples are highly correlated with the nearest neighbors of the normal inputs, while this correlation is much weaker for adversarial inputs. We train an adversarial detector using the k-NN ranks and distances and show that it successfully distinguishes adversarial examples, getting state-of-the-art results on six attack methods with three datasets. Code is available at https:// github.com/giladcohen/NNIF_adv_defense.",,2020/7/17 1:59,2020/7/17 1:59,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\PPTJ6H94\Cohen 等。 - Detecting Adversarial Samples Using Influence Func.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XPBS5J9,journalArticle,,"Dong, Yinpeng; Fu, Qi-An; Yang, Xiao; Pang, Tianyu; Su, Hang; Xiao, Zihao; Zhu, Jun",Benchmarking Adversarial Robustness on Image Classification,,,,,,"Deep neural networks are vulnerable to adversarial examples, which becomes one of the most important research problems in the development of deep learning. While a lot of efforts have been made in recent years, it is of great significance to perform correct and complete evaluations of the adversarial attack and defense algorithms. In this paper, we establish a comprehensive, rigorous, and coherent benchmark to evaluate adversarial robustness on image classiﬁcation tasks. After brieﬂy reviewing plenty of representative attack and defense methods, we perform large-scale experiments with two robustness curves as the fair-minded evaluation criteria to fully understand the performance of these methods. Based on the evaluation results, we draw several important ﬁndings that can provide insights for future research, including: 1) The relative robustness between models can change across different attack conﬁgurations, thus it is encouraged to adopt the robustness curves to evaluate adversarial robustness; 2) As one of the most effective defense techniques, adversarial training can generalize across different threat models; 3) Randomization-based defenses are more robust to query-based black-box attacks.",,2020/7/17 2:00,2020/7/17 2:00,,11,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\4ENLB3DG\Dong 等。 - Benchmarking Adversarial Robustness on Image Class.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M74DKFAZ,journalArticle,,"Duan, Ranjie; Ma, Xingjun; Wang, Yisen; Bailey, James; Qin, A K; Yang, Yun",Adversarial Camouflage: Hiding Physical-World Attacks With Natural Styles,,,,,,,,2020/7/17 2:01,2020/7/17 2:01,,9,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\T5RHFGRF\Duan 等。 - Adversarial Camouflage Hiding Physical-World Atta.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADW4SLBY,journalArticle,,"Guo, Minghao; Yang, Yuzhe; Xu, Rui; Liu, Ziwei; Lin, Dahua",When NAS Meets Robustness: In Search of Robust Architectures Against Adversarial Attacks,,,,,,"Recent advances in adversarial attacks uncover the intrinsic vulnerability of modern deep neural networks. Since then, extensive efforts have been devoted to enhancing the robustness of deep networks via specialized learning algorithms and loss functions. In this work, we take an architectural perspective and investigate the patterns of network architectures that are resilient to adversarial attacks. To obtain the large number of networks needed for this study, we adopt one-shot neural architecture search, training a large network for once and then ﬁnetuning the sub-networks sampled therefrom. The sampled architectures together with the accuracies they achieve provide a rich basis for our study. Our “robust architecture Odyssey” reveals several valuable observations: 1) densely connected patterns result in improved robustness; 2) under computational budget, adding convolution operations to direct connection edge is effective; 3) ﬂow of solution procedure (FSP) matrix is a good indicator of network robustness. Based on these observations, we discover a family of robust architectures (RobNets). On various datasets, including CIFAR, SVHN, Tiny-ImageNet, and ImageNet, RobNets exhibit superior robustness performance to other widely used architectures. Notably, RobNets substantially improve the robust accuracy (∼5% absolute gains) under both white-box and blackbox attacks, even with fewer parameter numbers. Code is available at https://github.com/gmh14/RobNets.",,2020/7/17 2:04,2020/7/17 2:04,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\MVD3RLMM\Guo 等。 - When NAS Meets Robustness In Search of Robust Arc.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W4PNAXW2,journalArticle,,"He, Zhezhi; Rakin, Adnan Siraj; Li, Jingtao; Chakrabarti, Chaitali; Fan, Deliang",Defending and Harnessing the Bit-Flip Based Adversarial Weight Attack,,,,,,"Recently, a new paradigm of the adversarial attack on the quantized neural network weights has attracted great attention, namely, the Bit-Flip based adversarial weight attack, aka. Bit-Flip Attack (BFA). BFA has shown extraordinary attacking ability, where the adversary can malfunction a quantized Deep Neural Network (DNN) as a random guess, through malicious bit-ﬂips on a small set of vulnerable weight bits (e.g., 13 out of 93 millions bits of 8-bit quantized ResNet-18). However, there are no effective defensive methods to enhance the fault-tolerance capability of DNN against such BFA. In this work, we conduct comprehensive investigations on BFA and propose to leverage binarizationaware training and its relaxation – piece-wise clustering as simple and effective countermeasures to BFA. The experiments show that, for BFA to achieve the identical prediction accuracy degradation (e.g., below 11% on CIFAR-10), it requires 19.3× and 480.1× more effective malicious bitﬂips on ResNet-20 and VGG-11 respectively, compared to defend-free counterparts.",,2020/7/17 2:04,2020/7/17 2:04,,9,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\FCPVE8FM\He 等。 - Defending and Harnessing the Bit-Flip Based Advers.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
