Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
1292,"S Liao, Y Hu, X Zhu, SZ Li","Person re-identification by local maximal occurrence representation and metric learning",2015,"… of the IEEE conference on computer …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Liao_Person_Re-Identification_by_2015_CVPR_paper.html","https://scholar.google.com/scholar?cites=14253377065401900395&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-02-26 15:55:41","","","","",,,,,1292,258.40,323,4,5,"Person re-identification is an important technique towards automatic search of a person's presence in a surveillance video. Two fundamental problems are critical for person re-identification, feature representation and metric learning. An effective feature representation …"
1234,"L Zheng, L Shen, L Tian, S Wang, ...","Scalable person re-identification: A benchmark",2015,"Proceedings of the …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_iccv_2015/html/Zheng_Scalable_Person_Re-Identification_ICCV_2015_paper.html","https://scholar.google.com/scholar?cites=11794457944740724244&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-02-26 15:55:41","","","","",,,,,1234,246.80,247,5,5,"This paper contributes a new high quality dataset for person re-identification, named"" Market-1501"". Generally, current datasets: 1) are limited in scale; 2) consist of hand-drawn bboxes, which are unavailable under realistic settings; 3) have only one ground truth and one query …"
935,"E Ahmed, M Jones, TK Marks","An improved deep learning architecture for person re-identification",2015,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2015/html/Ahmed_An_Improved_Deep_2015_CVPR_paper.html","https://scholar.google.com/scholar?cites=14478672522913801038&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-02-26 15:55:41","","","","",,,,,935,187.00,312,3,5,"In this work we propose a method for simultaneously learning features and a corresponding similarity metric for person re-identification. We present a deep convolution architecture with layers specially designed to address the problem of re-identification. Given a pair of images …"
732,"A Hermans, L Beyer, B Leibe","In defense of the triplet loss for person re-identification",2017,"arXiv preprint arXiv:1703.07737","arxiv.org","https://arxiv.org/abs/1703.07737","https://scholar.google.com/scholar?cites=734195213698350723&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-02-26 15:55:41","","","","",,,,,732,244.00,244,3,3,"In the past few years, the field of computer vision has gone through a revolution fueled mainly by the advent of large datasets and the adoption of deep convolutional neural networks for end-to-end learning. The person re-identification subfield is no exception to …"
707,"D Cheng, Y Gong, S Zhou, J Wang, ...","Person re-identification by multi-channel parts-based cnn with improved triplet loss function",2016,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2016/html/Cheng_Person_Re-Identification_by_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=4198871869166461824&as_sdt=2005&sciodt=0,5&hl=en",15,"2020-02-26 15:55:41","","","","",,,,,707,176.75,141,5,4,"Person re-identification across cameras remains a very challenging problem, especially when there are no overlapping fields of view between cameras. In this paper, we present a novel multi-channel parts-based convolutional neural network (CNN) model under the triplet …"
646,"Z Zheng, L Zheng, Y Yang","Unlabeled samples generated by gan improve the person re-identification baseline in vitro",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_iccv_2017/html/Zheng_Unlabeled_Samples_Generated_ICCV_2017_paper.html","https://scholar.google.com/scholar?cites=270746001988088124&as_sdt=2005&sciodt=0,5&hl=en",22,"2020-02-26 15:55:41","","","","",,,,,646,215.33,215,3,3,"The main contribution of this paper is a simple semi-supervised pipeline that only uses the original training set without collecting extra data. It is challenging in 1) how to obtain more training data only from the training set and 2) how to use the newly generated data. In this …"
635,"T Xiao, H Li, W Ouyang, X Wang","Learning deep feature representations with domain guided dropout for person re-identification",2016,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2016/html/Xiao_Learning_Deep_Feature_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=14693788551611879825&as_sdt=2005&sciodt=0,5&hl=en",16,"2020-02-26 15:55:41","","","","",,,,,635,158.75,159,4,4,"Learning generic and robust feature representations with data from multiple domains for the same problem is of great value, especially for the problems that have multiple datasets but none of them are large enough to provide abundant data variations. In this work, we present …"
506,"L Zhang, T Xiang, S Gong","Learning a discriminative null space for person re-identification",2016,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2016/html/Zhang_Learning_a_Discriminative_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=6697095554433865478&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-02-26 15:55:41","","","","",,,,,506,126.50,169,3,4,"Most existing person re-identification (re-id) methods focus on learning the optimal distance metrics across camera views. Typically a person's appearance is represented using features of thousands of dimensions, whilst only hundreds of training samples are available due to …"
489,"RR Varior, M Haloi, G Wang","Gated siamese convolutional neural network architecture for human re-identification",2016,"European conference on computer vision","Springer","https://link.springer.com/chapter/10.1007/978-3-319-46484-8_48","https://scholar.google.com/scholar?cites=7406142390965719882&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-02-26 15:55:41","","","","",,,,,489,122.25,163,3,4,"Matching pedestrians across multiple camera views, known as human re-identification, is a challenging research problem that has numerous applications in visual surveillance. With the resurgence of Convolutional Neural Networks (CNNs), several end-to-end deep …"
488,"L Zheng, Y Yang, AG Hauptmann","Person re-identification: Past, present and future",2016,"arXiv preprint arXiv:1610.02984","arxiv.org","https://arxiv.org/abs/1610.02984","https://scholar.google.com/scholar?cites=9876222444103058410&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-02-26 15:55:41","","","","",,,,,488,122.00,163,3,4,"Person re-identification (re-ID) has become increasingly popular in the community due to its application and research significance. It aims at spotting a person of interest in other cameras. In the early days, hand-crafted algorithms and small-scale evaluation were …"
