Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
337,"D Li, X Chen, Z Zhang, K Huang","Learning deep context-aware features over body and latent parts for person re-identification",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Li_Learning_Deep_Context-Aware_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=11787115398937943065&as_sdt=2005&sciodt=0,5&hl=en",964,"2020-02-26 15:05:22","","","","",,,,,337,112.33,84,4,3,"… It is a challenging task due to the large variations in person pose, occlusion, back- ground … the global body-based feature learning with MSCAN, the latent pedestrian parts localization … The focus of this approach is to learn powerful feature representations to describe pedestrians …"
321,"J Li, X Liang, SM Shen, T Xu, J Feng…","Scale-aware fast R-CNN for pedestrian detection",2017,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8060595/","https://scholar.google.com/scholar?cites=4373813579232030839&as_sdt=2005&sciodt=0,5&hl=en",36,"2020-02-26 15:05:22","","","","",,,,,321,107.00,54,6,3,"… boxes of pedestrian instances. There are totally 350,000 bounding boxes of about 2,300 unique pedes- trians labeled in 250,000 frames. In the reasonable evaluation setting [11], the performance is evaluated on pedestrians over 50 pixels tall with no or partial occlusion …"
315,"S Zhang, R Benenson, M Omran…","How far are we from solving pedestrian detection?",2016,"Proceedings of the …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2016/html/Zhang_How_Far_Are_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=8448032675851172312&as_sdt=2005&sciodt=0,5&hl=en",213,"2020-02-26 15:05:22","","","","",,,,,315,78.75,79,4,4,"… The video annotations amount to a total of 350000 bound- ing boxes covering ∼ 2 300 unique pedestrians … generates plots for different subsets of the test set based on annotation size, occlusion level and … which res- ults in a total of 4 250 frames with ∼1 600 pedestrian cut …"
312,"Y Tian, P Luo, X Wang, X Tang","Pedestrian detection aided by deep learning semantic tasks",2015,"Proceedings of the IEEE …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Tian_Pedestrian_Detection_Aided_2015_CVPR_paper.html","https://scholar.google.com/scholar?cites=138052881719749555&as_sdt=2005&sciodt=0,5&hl=en",29,"2020-02-26 15:05:22","","","","",,,,,312,62.40,78,4,5,"… In (a), the first and second row represent pedestrians and equivocal background samples respectively … For ex- ample, Wang et al. [32] utilized the LBP+HOG features to deal with partial occlusion of pedestrian. Chen et al …"
307,"S Zhang, R Benenson, B Schiele","Filtered channel features for pedestrian detection.",2015,"CVPR","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2015/app/1B_070.pdf","https://scholar.google.com/scholar?cites=2043372113368539904&as_sdt=2005&sciodt=0,5&hl=en",221,"2020-02-26 15:05:22","PDF","","","",,,,,307,61.40,102,3,5,"… Colour) Although the appearance of pedestrians is diverse, the background and skin areas do exhibit a colour bias. Colour has shown to be an effective feature for pedestrian detection and hence multiple colour spaces have been explored (both hand-crafted and learned) [8, 18 …"
305,"Y Tian, P Luo, X Wang, X Tang","Deep learning strong parts for pedestrian detection",2015,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_iccv_2015/html/Tian_Deep_Learning_Strong_ICCV_2015_paper.html","https://scholar.google.com/scholar?cites=7740499673489636663&as_sdt=2005&sciodt=0,5&hl=en",13,"2020-02-26 15:05:22","","","","",,,,,305,61.00,76,4,5,"… or datasets. In [31, 24], occlusions caused by overlaps between two pedestrians were handled. Specifically, Tang et al. [31] proposed a pedestrian detector tailored to vari- ous occlusion levels, while Ouyang et al. [24] employed …"
294,"J Hosang, M Omran, R Benenson…","Taking a deeper look at pedestrians",2015,"Proceedings of the IEEE …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Hosang_Taking_a_Deeper_2015_CVPR_paper.html","https://scholar.google.com/scholar?cites=12213861898695501044&as_sdt=2005&sciodt=0,5&hl=en",17,"2020-02-26 15:05:22","","","","",,,,,294,58.80,74,4,5,"Taking a Deeper Look at Pedestrians … Despite their recent diverse successes, convnets historically underperform compared to other pedestrian detectors. We deliberately omit explicitly modelling the problem into the network (eg parts or occlusion modelling) and show that we …"
252,"K Teknomo","Microscopic pedestrian flow characteristics: Development of an image processing data collection and simulation model",2016,"arXiv preprint arXiv:1610.00029","arxiv.org","https://arxiv.org/abs/1610.00029","https://scholar.google.com/scholar?cites=3177556680640979081&as_sdt=2005&sciodt=0,5&hl=en",66,"2020-02-26 15:05:22","","","","",,,,,252,63.00,252,1,4,"… space allocation for pedestrians in the pedestrian facilities. It does not consider the direct interaction between pedestrians and it is not well suited for prediction of pedestrian flow … repulsive and attractive effect between pedestrians and between pedestrian with their environment …"
240,"S Hwang, J Park, N Kim, Y Choi…","Multispectral pedestrian detection: Benchmark dataset and baseline",2015,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2015/html/Hwang_Multispectral_Pedestrian_Detection_2015_CVPR_paper.html","https://scholar.google.com/scholar?cites=9046647587251200733&as_sdt=2005&sciodt=0,5&hl=en",18,"2020-02-26 15:05:22","","","","",,,,,240,48.00,48,5,5,"… Figure 7. Examples of annotated pedestrians with no occlusion tag. It shows color and thermal image pairs at day and night times. Occlusion. If a pedestrian is suddenly occluded by other pedestrians or objects in the scene, we annotated it with one of the three occlusion tags …"
184,"Z Zheng, L Zheng, Y Yang","Pedestrian alignment network for large-scale person re-identification",2018,"… on Circuits and Systems for Video …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8481710/","https://scholar.google.com/scholar?cites=15570096919675942823&as_sdt=2005&sciodt=0,5&hl=en",149,"2020-02-26 15:05:22","","","","",,,,,184,92.00,61,3,2,"… As shown in Fig. 8, our method is robust to some occlusion, and still predicts reasonable alignment … In this work, we propose the pedestrian alignment network (PAN), which simultaneously aligns the pedestrians within bounding boxes and le"
176,"S Zhang, R Benenson…","Citypersons: A diverse dataset for pedestrian detection",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Zhang_CityPersons_A_Diverse_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=15173863929848013439&as_sdt=2005&sciodt=0,5&hl=en",20,"2020-02-26 15:05:22","","","","",,,,,176,58.67,59,3,3,"… pedestrian detection community. For each frame in the 5 000 fine-annotations subset, we have created high quality bounding box annotations for pedestrians (section 3.1). In section 3.2 we contrast CityPersons with pre- vious datasets regarding: volume, diversity and occlusion …"
175,"K Liu, B Ma, W Zhang, R Huang","A spatio-temporal appearance representation for viceo-based pedestrian re-identification",2015,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_iccv_2015/html/Liu_A_Spatio-Temporal_Appearance_ICCV_2015_paper.html","https://scholar.google.com/scholar?cites=18214623512303321609&as_sdt=2005&sciodt=0,5&hl=en",218,"2020-02-26 15:05:22","","","","",,,,,175,35.00,44,4,5,"… re-id algorithm assumes that the input are video sequences containing walk- ing pedestrians. We use the term pedestrian to emphasize our focus on exploiting additional temporal information in … a form of spatial alignment, which can address the pose and occlusion problem to …"
157,"N Saito, H Matsumoto, T Yagi, Y Hara…","Evaluation of the safety and feasibility of resuscitative endovascular balloon occlusion of the aorta",2015,"Journal of Trauma …","cdn.journals.lww.com","https://cdn.journals.lww.com/jtrauma/Fulltext/2015/05000/Evaluation_of_the_safety_and_feasibility_of.1.aspx","https://scholar.google.com/scholar?cites=7637688306485389565&as_sdt=2005&sciodt=0,5&hl=en",196,"2020-02-26 15:05:22","","","","",,,,,157,31.40,31,5,5,"BACKGROUND Resuscitative endovascular balloon occlusion of the aorta (REBOA) is one of the ultimat."
