Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
490,"L Zheng, Y Yang, AG Hauptmann","Person re-identification: Past, present and future",2016,"arXiv preprint arXiv:1610.02984","arxiv.org","https://arxiv.org/abs/1610.02984","https://scholar.google.com/scholar?cites=9876222444103058410&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-02-27 18:47:29","","","","",,,,,490,122.50,163,3,4,"Person re-identification (re-ID) has become increasingly popular in the community due to its application and research significance. It aims at spotting a person of interest in other cameras. In the early days, hand-crafted algorithms and small-scale evaluation were …"
350,"W Li, X Zhu, S Gong","Harmonious attention network for person re-identification",2018,"… of the IEEE conference on computer …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Li_Harmonious_Attention_Network_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=7374410551099388706&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-02-27 18:47:29","","","","",,,,,350,175.00,117,3,2,"Existing person re-identiﬁcation (re-id) methods either assume the availability of well-aligned person bounding box images as model input or rely on constrained attention selection mechanisms to calibrate misaligned images. They are therefore sub-optimal for re …"
323,"L Zhao, X Li, Y Zhuang, J Wang","Deeply-learned part-aligned representations for person re-identification",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_iccv_2017/html/Zhao_Deeply-Learned_Part-Aligned_Representations_ICCV_2017_paper.html","https://scholar.google.com/scholar?cites=959453658463980412&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-02-27 18:47:29","","","","",,,,,323,107.67,81,4,3,"In this paper, we address the problem of person re-identification, which refers to associating the persons captured from different cameras. We propose a simple yet effective human part-aligned representation for handling the body part misalignment problem. Our approach …"
267,"T Xiao, S Li, B Wang, L Lin…","Joint detection and identification feature learning for person search",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Xiao_Joint_Detection_and_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=2818455563202720828&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-02-27 18:47:29","","","","",,,,,267,89.00,53,5,3,"Existing person re-identification benchmarks and methods mainly focus on matching cropped pedestrian images between queries and candidates. However, it is different from real-world scenarios where the annotations of pedestrian bounding boxes are unavailable …"
214,"L Zheng, H Zhang, S Sun…","Person re-identification in the wild",2017,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Zheng_Person_Re-Identification_in_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=2451674287677049201&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-02-27 18:47:29","","","","",,,,,214,71.33,54,4,3,"This paper presents a novel large-scale dataset and comprehensive baselines for end-to-end pedestrian detection and person recognition in raw video frames. Our baselines address three issues: the performance of various combinations of detectors and recognizers …"
207,"J You, A Wu, X Li, WS Zheng","Top-push video-based person re-identification",2016,"Proceedings of the IEEE …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2016/html/You_Top-Push_Video-Based_Person_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=12818327390883735215&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-02-27 18:47:29","","","","",,,,,207,51.75,52,4,4,"Most existing person re-identification (re-id) models focus on matching still person images across disjoint camera views using the setting of either single-shot or multi-shot. Since limited information can be exploited from still images, it is hard (if not impossible) to …"
159,"YC Chen, X Zhu, WS Zheng…","Person re-identification by camera correlation aware feature augmentation",2017,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7849147/","https://scholar.google.com/scholar?cites=12785612054446603350&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-02-27 18:47:29","","","","",,,,,159,53.00,40,4,3,"The challenge of person re-identification (re-id) is to match individual images of the same person captured by different nonoverlapping camera views against significant and unknown cross-view feature distortion. While a large number of distance metric/subspace learning …"
122,"R Zhao, W Oyang, X Wang","Person re-identification by saliency learning",2016,"IEEE transactions on pattern …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7437489/","https://scholar.google.com/scholar?cites=17429687016862468539&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-02-27 18:47:29","","","","",,,,,122,30.50,41,3,4,"Human eyes can recognize person identities based on small salient regions, ie, person saliency is distinctive and reliable in pedestrian matching across disjoint camera views. However, such valuable information is often hidden when computing similarities of …"
118,"J Xu, R Zhao, F Zhu, H Wang…","Attention-aware compositional network for person re-identification",2018,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Xu_Attention-Aware_Compositional_Network_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=352519752660497891&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-02-27 18:47:29","","","","",,,,,118,59.00,24,5,2,"Person re-identification (ReID) is to identify pedestrians observed from different camera views based on visual appearance. It is a challenging task due to large pose variations, complex background clutters and severe occlusions. Recently, human pose estimation by …"
110,"Y Suh, J Wang, S Tang, T Mei…","Part-aligned bilinear representations for person re-identification",2018,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_ECCV_2018/html/Yumin_Suh_Part-Aligned_Bilinear_Representations_ECCV_2018_paper.html","https://scholar.google.com/scholar?cites=7341079685534342246&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-02-27 18:47:29","","","","",,,,,110,55.00,22,5,2,"Comparing the appearance of corresponding body parts is essential for person re-identification. As body parts are frequently misaligned between the detected human boxes, an image representation that can handle this misalignment is required. In this paper, we …"
